crv_nm,scn_no,tenor,rate
CHAR,INT,INT,FLOAT
INTERBCRV.EUR,0,1,-0.0037444
INTERBCRV.EUR,0,7,-0.0037997
INTERBCRV.EUR,0,30,-0.0037677
INTERBCRV.EUR,0,61,-0.0034353
INTERBCRV.EUR,0,91,-0.0030285
INTERBCRV.EUR,0,121,-0.0026597
INTERBCRV.EUR,0,151,-0.0022991
INTERBCRV.EUR,0,182,-0.0019263
INTERBCRV.EUR,0,212,-0.0016725
INTERBCRV.EUR,0,243,-0.0014323
INTERBCRV.EUR,0,273,-0.0011999
INTERBCRV.EUR,0,304,-0.0009557
INTERBCRV.EUR,0,334,-0.0007186
INTERBCRV.EUR,0,365,-0.0004735
INTERBCRV.EUR,0,549,-0.0015406
INTERBCRV.EUR,0,730,-0.0015087
INTERBCRV.EUR,0,1095,-0.0011393
INTERBCRV.EUR,0,1460,-0.0004672
INTERBCRV.EUR,0,1825,0.0003754
INTERBCRV.EUR,0,2190,0.0013668
INTERBCRV.EUR,0,2555,0.0024591
INTERBCRV.EUR,0,2920,0.0035795
INTERBCRV.EUR,0,3285,0.0046812
INTERBCRV.EUR,0,3650,0.0056606
INTERBCRV.EUR,0,4015,0.0065243
INTERBCRV.EUR,0,4380,0.0073844
INTERBCRV.EUR,0,4745,0.0079789
INTERBCRV.EUR,0,5110,0.0085678
INTERBCRV.EUR,0,5475,0.0091564
INTERBCRV.EUR,0,5840,0.0094329
INTERBCRV.EUR,0,6205,0.0097032
INTERBCRV.EUR,0,6570,0.0099735
INTERBCRV.EUR,0,6935,0.0102437
INTERBCRV.EUR,0,7300,0.0105138
INTERBCRV.EUR,0,7665,0.0105719
INTERBCRV.EUR,0,8030,0.0106246
INTERBCRV.EUR,0,8395,0.0106774
INTERBCRV.EUR,0,8760,0.0107301
INTERBCRV.EUR,0,9125,0.0107829
INTERBCRV.EUR,0,10950,0.0107337
INTERBCRV.EUR,0,12775,0.0104457
INTERBCRV.EUR,0,14600,0.0101561
INTERBCRV.EUR,0,16425,0.0098665
INTERBCRV.EUR,0,18250,0.0095767
